,Titlu,Titlu2,Autor,Nationalitate,GenWiki
1312,Steaguri albe,Steaguri albe,Adrian Păunescu,Written Language,poezie
1313,Leagăn pentru toată copilăria,Leagăn pentru toată copilăria,Adrian Păunescu,Written Language,poezie
1314,Iarna stelele,Iarna stelele,Ana Blandiana,Written Language,poezie
1315,Carantină,Carantină,Ana Blandiana,Written Language,poezie
1316,Descântec de ploaie,Descântec de ploaie,Ana Blandiana,Written Language,poezie
1317,Învaţă-mă să ard întunecat,Învaţă-mă să ard întunecat,Ana Blandiana,Written Language,poezie
1318,Lasă-mi toamnă,Lasă-mi toamnă,Ana Blandiana,Written Language,poezie
1319,Cântecul,Cântecul,Ana Blandiana,Written Language,poezie
1320,În somn,În somn,Ana Blandiana,Written Language,poezie
1321,Pastel de toamnă,Pastel de toamnă,Adrian Păunescu,Written Language,poezie
1322,Cântec de miner tânăr,Cântec de miner tânăr,Ana Blandiana,Written Language,poezie
1323,Silabe,Silabe,Ana Blandiana,Written Language,poezie
1324,Copilărie,Copilărie,Ana Blandiana,Written Language,poezie
1325,Arhitectură-n mişcare,Arhitectură-n mişcare,Ana Blandiana,Written Language,poezie
1326,Iertările,Iertările,Adrian Păunescu,Written Language,poezie
1327,Nealegere,Nealegere,Ana Blandiana,Written Language,poezie
1328,Două cruci,Două cruci,Ana Blandiana,Written Language,poezie
1329,Avram Iancu,Avram Iancu,Ana Blandiana,Written Language,poezie
1330,Făt-Frumos,Făt-Frumos,Adrian Păunescu,Written Language,poezie
1331,Noaptea de iulie,Noaptea de iulie,Alexandru Macedonski,Written Language,poezie
1332,Delimitări,Delimitări,Ana Blandiana,Written Language,poezie
1333,Balada vămilor,Balada vămilor,Ana Blandiana,Written Language,poezie
1334,Te întreb,Te întreb,Ana Blandiana,Written Language,poezie
1335,Poate că mă visează cineva,Poate că mă visează cineva,Ana Blandiana,Written Language,poezie
1336,De bună voie,De bună voie,Ana Blandiana,Written Language,poezie
1337,Mamă,Mamă,Ana Blandiana,Written Language,poezie
1338,Am crescut,Am crescut,Ana Blandiana,Written Language,poezie
1339,Cine iese ultimul din ţară,Cine iese ultimul din ţară,Adrian Păunescu,Written Language,poezie
1340,Legături,Legături,Ana Blandiana,Written Language,poezie
1341,Rondelul ajungerii la cer,Rondelul ajungerii la cer,Alexandru Macedonski,Written Language,poezie
1342,Rondelul lucrurilor,Rondelul lucrurilor,Alexandru Macedonski,Written Language,poezie
1343,Rugă pentru părinţi,Rugă pentru părinţi,Adrian Păunescu,Written Language,poezie
1344,Rondelul contimporanilor,Rondelul contimporanilor,Alexandru Macedonski,Written Language,poezie
1345,Tu treci,Tu treci,Ana Blandiana,Written Language,poezie
1346,Ştiu puritatea,Ştiu puritatea,Ana Blandiana,Written Language,poezie
1347,Noaptea de decembrie,Noaptea de decembrie,Alexandru Macedonski,Written Language,poezie
1348,Călătorie,Călătorie,Ana Blandiana,Written Language,poezie
1349,Poetul,Poetul,Adrian Păunescu,Written Language,poezie
1350,De dragoste,De dragoste,Ana Blandiana,Written Language,poezie
1351,Ce frumoasă eşti,Ce frumoasă eşti,Adrian Păunescu,Written Language,poezie
1352,Voi ştiţi ceva,Voi ştiţi ceva,Ana Blandiana,Written Language,poezie
1353,Rugă,Rugă,Ana Blandiana,Written Language,poezie
1354,O clipă,O clipă,Octavian Goga,Written Language,poezie
1355,Oltul,Oltul,Octavian Goga,Written Language,poezie
1356,Sângele,Sângele,Octavian Goga,Written Language,poezie
1357,Din larg,Din larg,Octavian Goga,Written Language,poezie
1358,În muzeu,În muzeu,Octavian Goga,Written Language,poezie
1359,Rugăciune,Rugăciune,Octavian Goga,Written Language,poezie
1360,Asfinţit,Asfinţit,Octavian Goga,Written Language,poezie
1361,Sara,Sara,Octavian Goga,Written Language,poezie
1362,De demult,De demult,Octavian Goga,Written Language,poezie
1363,În mormânt la Argeş,În mormânt la Argeş,Octavian Goga,Written Language,poezie
1364,De Profundis,De Profundis,Octavian Goga,Written Language,poezie
1365,Moştenire,Moştenire,Octavian Goga,Written Language,poezie
1366,Revedere,Revedere,Octavian Goga,Written Language,poezie
1367,Noapte,Noapte,Octavian Goga,Written Language,poezie
1368,Plugarii,Plugarii,Octavian Goga,Written Language,poezie
1369,Dorinţa,Dorinţa,Octavian Goga,Written Language,poezie
1370,Pace,Pace,Octavian Goga,Written Language,poezie
1371,Cântecele mele,Cântecele mele,Octavian Goga,Written Language,poezie
1372,Fără ţară,Fără ţară,Octavian Goga,Written Language,poezie
1373,Bătrâni,Bătrâni,Octavian Goga,Written Language,poezie
1374,Lacul,Lacul,Octavian Goga,Written Language,poezie
1375,Cărbunii,Cărbunii,Octavian Goga,Written Language,poezie
1376,Graiul pâinii,Graiul pâinii,Octavian Goga,Written Language,poezie
1377,Străinul,Străinul,Octavian Goga,Written Language,poezie
1378,Reîntors,Reîntors,Octavian Goga,Written Language,poezie
1379,Pribeag,Pribeag,Octavian Goga,Written Language,poezie
1380,Cosaşul,Cosaşul,Octavian Goga,Written Language,poezie
1381,În munţi,În munţi,Octavian Goga,Written Language,poezie
1382,Cântece,Cântece,Octavian Goga,Written Language,poezie
1383,Solus ero,Solus ero,Octavian Goga,Written Language,poezie
1384,Departe,Departe,Octavian Goga,Written Language,poezie
1385,Sufletul,Sufletul,Octavian Goga,Written Language,poezie
1386,Pe înserate,Pe înserate,Octavian Goga,Written Language,poezie
1387,Cinquecento,Cinquecento,Octavian Goga,Written Language,poezie
1388,Dăscăliţa,Dăscăliţa,Octavian Goga,Written Language,poezie
1389,Doina,Doina,Octavian Goga,Written Language,poezie
1390,O ramură întârziată,O ramură întârziată,Octavian Goga,Written Language,poezie
1391,Dascălul,Dascălul,Octavian Goga,Written Language,poezie
1392,Ceahlăul,Ceahlăul,Octavian Goga,Written Language,poezie
1393,Răsună toaca,Răsună toaca,Octavian Goga,Written Language,poezie
1394,Scrisoare,Scrisoare,Octavian Goga,Written Language,poezie
1395,La mal,La mal,Octavian Goga,Written Language,poezie
1396,Inima,Inima,Octavian Goga,Written Language,poezie
1397,Aşteptare,Aşteptare,Octavian Goga,Written Language,poezie
1398,Noi,Noi,Octavian Goga,Written Language,poezie
1399,Eu ştiu un basm,Eu ştiu un basm,Octavian Goga,Written Language,poezie
1400,Părăsit,Părăsit,Octavian Goga,Written Language,poezie
1401,Profetul,Profetul,Octavian Goga,Written Language,poezie
1402,În pacea mută,În pacea mută,Octavian Goga,Written Language,poezie
1403,Trecutul,Trecutul,Octavian Goga,Written Language,poezie
1404,ACELEI CARE VA VENI,ACELEI CARE VA VENI,Ion Minulescu,Written Language,poezie
1405,TREI LACRIMI RECI DE CÃLÃTOARE,TREI LACRIMI RECI DE CÃLÃTOARE,Ion Minulescu,Written Language,poezie
1406,ROMANŢÃ FÃRÃ MUZICÃ,ROMANŢÃ FÃRÃ MUZICÃ,Ion Minulescu,Written Language,poezie
1407,ROMANŢA MORŢII,ROMANŢA MORŢII,Ion Minulescu,Written Language,poezie
1408,SEARÃ RURALÃ,SEARÃ RURALÃ,Ion Minulescu,Written Language,poezie
1409,MULTAŞTEPTATEI,MULTAŞTEPTATEI,Ion Minulescu,Written Language,poezie
1410,GÉRARD DE NERVAL,GÉRARD DE NERVAL,Ion Minulescu,Written Language,poezie
1411,JULES LAFORGUE,JULES LAFORGUE,Ion Minulescu,Written Language,poezie
1412,ACUARELÃ,ACUARELÃ,Ion Minulescu,Written Language,poezie
1413,CREPUSCUL LA TOMIS,CREPUSCUL LA TOMIS,Ion Minulescu,Written Language,poezie
1414,ÎN TEMPLUL LINIŞTII,ÎN TEMPLUL LINIŞTII,Ion Minulescu,Written Language,poezie
1415,OCTOMBRE,OCTOMBRE,Ion Minulescu,Written Language,poezie
1416,CELEI CARE TRECE,CELEI CARE TRECE,Ion Minulescu,Written Language,poezie
1417,ELEGIE DOMESTICÃ,ELEGIE DOMESTICÃ,Ion Minulescu,Written Language,poezie
1418,MOARTEA PASAGERULUI,MOARTEA PASAGERULUI,Ion Minulescu,Written Language,poezie
1419,ROMANŢÃ POLICROMÃ,ROMANŢÃ POLICROMÃ,Ion Minulescu,Written Language,poezie
1420,ROMANŢA CHEII,ROMANŢA CHEII,Ion Minulescu,Written Language,poezie
1421,Klingsor,Klingsor,Ion Minulescu,Written Language,poezie
1422,ÎN ORAŞUL CU TREI SUTE DE BISERICI,ÎN ORAŞUL CU TREI SUTE DE BISERICI,Ion Minulescu,Written Language,poezie
1423,ROMANŢA UNUI REGE ASIATIC,ROMANŢA UNUI REGE ASIATIC,Ion Minulescu,Written Language,poezie
1424,Romanta Noului Venit,Romanta Noului Venit,Ion Minulescu,Written Language,poezie
1425,ROMANŢA PELERINULUI,ROMANŢA PELERINULUI,Ion Minulescu,Written Language,poezie
1426,ROMANŢA NECUNOSCUTEI,ROMANŢA NECUNOSCUTEI,Ion Minulescu,Written Language,poezie
1427,ROMANŢA IAHTURILOR,ROMANŢA IAHTURILOR,Ion Minulescu,Written Language,poezie
1428,ROMANŢA CELOR TREI GALERE,ROMANŢA CELOR TREI GALERE,Ion Minulescu,Written Language,poezie
1429,ROMANŢA CELOR TREI ROMANŢE,ROMANŢA CELOR TREI ROMANŢE,Ion Minulescu,Written Language,poezie
1430,AMIAZÃ RURALÃ,AMIAZÃ RURALÃ,Ion Minulescu,Written Language,poezie
1431,ROMANŢA CELOR CE SE VÂND,ROMANŢA CELOR CE SE VÂND,Ion Minulescu,Written Language,poezie
1432,"O, NU TE-APROPIA DE MÃNÃSTIRE!","O, NU TE-APROPIA DE MÃNÃSTIRE!",Ion Minulescu,Written Language,poezie
1433,Despre ţara din care venim,Despre ţara din care venim,Ion Minulescu,Written Language,poezie
1434,Spre Insula Enigma,Spre Insula Enigma,Ion Minulescu,Written Language,poezie
1435,ODELETÃ,ODELETÃ,Ion Minulescu,Written Language,poezie
1436,PASTEL BOLNAV,PASTEL BOLNAV,Ion Minulescu,Written Language,poezie
1437,CELEI CARE PLEACÃ,CELEI CARE PLEACÃ,Ion Minulescu,Written Language,poezie
1438,CLOPOTELE,CLOPOTELE,Ion Minulescu,Written Language,poezie
1439,ODELETA,ODELETA,Ion Minulescu,Written Language,poezie
1440,GLASUL MORILOR,GLASUL MORILOR,Ion Minulescu,Written Language,poezie
1441,ROMANŢÃ APOCRIFÃ,ROMANŢÃ APOCRIFÃ,Ion Minulescu,Written Language,poezie
1442,ROMANŢA ROZINEI,ROMANŢA ROZINEI,Ion Minulescu,Written Language,poezie
1443,MARINÃ ESTIVALÃ,MARINÃ ESTIVALÃ,Ion Minulescu,Written Language,poezie
1444,STROFE PENTRU ELEMENTELE NATURII,STROFE PENTRU ELEMENTELE NATURII,Ion Minulescu,Written Language,poezie
1445,DE VORBA CU MINE INSUMI,DE VORBA CU MINE INSUMI,Ion Minulescu,Written Language,poezie
1446,Cât timp vorbesc,Cât timp vorbesc,Ion Minulescu,Written Language,poezie
1447,SOSESC CORÃBIILE,SOSESC CORÃBIILE,Ion Minulescu,Written Language,poezie
1448,ROMANŢA ULTIMEI SERI,ROMANŢA ULTIMEI SERI,Ion Minulescu,Written Language,poezie
1449,PRIN GÃRILE CU FIRME-ALBASTRE,PRIN GÃRILE CU FIRME-ALBASTRE,Ion Minulescu,Written Language,poezie
1450,La Poarta Celor Care Dorm,La Poarta Celor Care Dorm,Ion Minulescu,Written Language,poezie
1451,NOCTURNÃ,NOCTURNÃ,Ion Minulescu,Written Language,poezie
1452,ÎNTR-UN BAZAR SENTIMENTAL,ÎNTR-UN BAZAR SENTIMENTAL,Ion Minulescu,Written Language,poezie
1453,PASTEL DE TOAMNÃ,PASTEL DE TOAMNÃ,Ion Minulescu,Written Language,poezie
1454,ROMANŢA ZILELOR DE IERI,ROMANŢA ZILELOR DE IERI,Ion Minulescu,Written Language,poezie
1455,SONET,SONET,Ion Minulescu,Written Language,poezie
1456,LA UMBRA CRUCILOR DE LEMN,LA UMBRA CRUCILOR DE LEMN,Ion Minulescu,Written Language,poezie
1457,ULTIMA ORÃ,ULTIMA ORÃ,Ion Minulescu,Written Language,poezie
1458,STROFE PENTRU CELE PATRU ANOTIMPURI,STROFE PENTRU CELE PATRU ANOTIMPURI,Ion Minulescu,Written Language,poezie
1459,PLOAIE URBANÃ,PLOAIE URBANÃ,Ion Minulescu,Written Language,poezie
1460,CÂNTA UN MATELOT,CÂNTA UN MATELOT,Ion Minulescu,Written Language,poezie
1461,ROMANŢA CELOR TREI CORÃBII,ROMANŢA CELOR TREI CORÃBII,Ion Minulescu,Written Language,poezie
1462,LITANII PENTRU MIEZUL NOPŢII,LITANII PENTRU MIEZUL NOPŢII,Ion Minulescu,Written Language,poezie
1463,Romanta Corbului,Romanta Corbului,Ion Minulescu,Written Language,poezie
1464,REGINA IZABELA CÃTRE CRISTOFOR COLUMB,REGINA IZABELA CÃTRE CRISTOFOR COLUMB,Ion Minulescu,Written Language,poezie
1465,VA FI,VA FI,Ion Minulescu,Written Language,poezie
1466,ECCE HOMO,ECCE HOMO,Ion Minulescu,Written Language,poezie
1467,MARŞ FUNEBRU,MARŞ FUNEBRU,Ion Minulescu,Written Language,poezie
1468,PASTEL MECANIC,PASTEL MECANIC,Ion Minulescu,Written Language,poezie
1469,ROMANŢA SOARELUI,ROMANŢA SOARELUI,Ion Minulescu,Written Language,poezie
1470,GÖTTERDÄMMERUNG,GÖTTERDÄMMERUNG,Ion Minulescu,Written Language,poezie
1471,PASTEL BANAL,PASTEL BANAL,Ion Minulescu,Written Language,poezie
1472,CELEI MAI APROAPE,CELEI MAI APROAPE,Ion Minulescu,Written Language,poezie
1473,CÂNTEC DE LEAGÃN,CÂNTEC DE LEAGÃN,Ion Minulescu,Written Language,poezie
1474,ROMANŢA MORTULUI,ROMANŢA MORTULUI,Ion Minulescu,Written Language,poezie
1475,TREC VAGABONZII,TREC VAGABONZII,Ion Minulescu,Written Language,poezie
1476,VESPERALÃ,VESPERALÃ,Ion Minulescu,Written Language,poezie
1477,ROMANŢA CELUI CE S-A-NTORS,ROMANŢA CELUI CE S-A-NTORS,Ion Minulescu,Written Language,poezie
1478,CELEI ÎNVINSE,CELEI ÎNVINSE,Ion Minulescu,Written Language,poezie
1479,ALEA JACTA EST,ALEA JACTA EST,Ion Minulescu,Written Language,poezie
1480,PAUL VERLAINE,PAUL VERLAINE,Ion Minulescu,Written Language,poezie
1481,ROMANŢÃ NORDICÃ,ROMANŢÃ NORDICÃ,Ion Minulescu,Written Language,poezie
1482,PASTEL PROFAN,PASTEL PROFAN,Ion Minulescu,Written Language,poezie
1483,TRIPTIC BANAL,TRIPTIC BANAL,Ion Minulescu,Written Language,poezie
1484,ROMANŢA MARILOR DISPÃRUŢI,ROMANŢA MARILOR DISPÃRUŢI,Ion Minulescu,Written Language,poezie
1485,RÂNDURI PENTRU SULAMITA,RÂNDURI PENTRU SULAMITA,Ion Minulescu,Written Language,poezie
1486,PELERINII MORŢII,PELERINII MORŢII,Ion Minulescu,Written Language,poezie
1487,CELEI DIN URMÃ,CELEI DIN URMÃ,Ion Minulescu,Written Language,poezie
1488,Mă cert cu Dumnezeu,Mă cert cu Dumnezeu,Luciana Stoicescu Vaughau,Written Language,poezie
1489,Sfîrsitul lumii,Sfîrsitul lumii,Luciana Stoicescu Vaughau,Written Language,poezie
1490,În memoria,În memoria,Luciana Stoicescu Vaughau,Written Language,poezie
1491,Lui Eminescu,Lui Eminescu,Luciana Stoicescu Vaughau,Written Language,poezie
1492,Scrisoarea II,Scrisoarea II,Mihai Eminescu,Written Language,poezie
1493,Criticilor mei,Criticilor mei,Mihai Eminescu,Written Language,poezie
1494,Glossă modernă,Glossă modernă,Maria-Eugenia Olaru,Written Language,poezie
1495,Cânt,Cânt,Magda Ianos,Written Language,poezie
1496,Ce te legeni,Ce te legeni,Mihai Eminescu,Written Language,poezie
1497,Noaptea,Noaptea,Mihai Eminescu,Written Language,poezie
1498,Pe aceeaşi ulicioară,Pe aceeaşi ulicioară,Mihai Eminescu,Written Language,poezie
1499,Scrisoare de dor către casă,Scrisoare de dor către casă,Maria-Eugenia Olaru,Written Language,poezie
1500,Toporasi,Toporasi,Magda Ianos,Written Language,poezie
1501,La moartea principelui Ştirbey,La moartea principelui Ştirbey,Mihai Eminescu,Written Language,poezie
1502,O rămâi,O rămâi,Mihai Eminescu,Written Language,poezie
1503,Călin,Călin,Mihai Eminescu,Written Language,poezie
1504,De ce nu-mi vii,De ce nu-mi vii,Mihai Eminescu,Written Language,poezie
1505,Peste vârfuri,Peste vârfuri,Mihai Eminescu,Written Language,poezie
1506,Odă,Odă,Mihai Eminescu,Written Language,poezie
1507,Scrisoarea III,Scrisoarea III,Mihai Eminescu,Written Language,poezie
1508,Lasă-ţi lumea,Lasă-ţi lumea,Mihai Eminescu,Written Language,poezie
1509,Nu mă înţelegi,Nu mă înţelegi,Mihai Eminescu,Written Language,poezie
1510,Misterele nopţii,Misterele nopţii,Mihai Eminescu,Written Language,poezie
1511,Diana,Diana,Mihai Eminescu,Written Language,poezie
1512,A treisprezecea scrisoare,A treisprezecea scrisoare,Maria-Eugenia Olaru,Written Language,poezie
1513,Împărat şi proletar,Împărat şi proletar,Mihai Eminescu,Written Language,poezie
1514,Scrisoarea I,Scrisoarea I,Mihai Eminescu,Written Language,poezie
1515,Nu voi mormânt bogat,Nu voi mormânt bogat,Mihai Eminescu,Written Language,poezie
1516,Egipetul,Egipetul,Mihai Eminescu,Written Language,poezie
1517,O mamă,O mamă,Mihai Eminescu,Written Language,poezie
1518,Copii eram noi amândoi,Copii eram noi amândoi,Mihai Eminescu,Written Language,poezie
1519,Ce-ţi doresc eu ţie dulce Românie,Ce-ţi doresc eu ţie dulce Românie,Mihai Eminescu,Written Language,poezie
1520,Dorinţa,Dorinţa,Mihai Eminescu,Written Language,poezie
1521,A patrusprezecea scrisoare,A patrusprezecea scrisoare,Maria-Eugenia Olaru,Written Language,poezie
1522,Înger şi demon,Înger şi demon,Mihai Eminescu,Written Language,poezie
1523,Melancolie,Melancolie,Mihai Eminescu,Written Language,poezie
1524,Rugă către Sfânta Vineri,Rugă către Sfânta Vineri,Maria-Eugenia Olaru,Written Language,poezie
1525,Freamăt de codru,Freamăt de codru,Mihai Eminescu,Written Language,poezie
1526,Afară-i toamnă,Afară-i toamnă,Mihai Eminescu,Written Language,poezie
1527,A doua scrisoare - Logos,A doua scrisoare - Logos,Maria-Eugenia Olaru,Written Language,poezie
1528,Adio,Adio,Mihai Eminescu,Written Language,poezie
1529,Pajul Cupidon,Pajul Cupidon,Mihai Eminescu,Written Language,poezie
1530,Alergare,Alergare,Maria-Eugenia Olaru,Written Language,poezie
1531,A douăzeci şi una scrisoare,A douăzeci şi una scrisoare,Maria-Eugenia Olaru,Written Language,poezie
1532,Cugetările sărmanului Dionis,Cugetările sărmanului Dionis,Mihai Eminescu,Written Language,poezie
1533,A treizeci şi doua scrisoare,A treizeci şi doua scrisoare,Maria-Eugenia Olaru,Written Language,poezie
1534,Seara pe deal,Seara pe deal,Mihai Eminescu,Written Language,poezie
1535,Domniţa,Domniţa,Mateiu Ion Caragiale,Written Language,poezie
1536,Despărţire,Despărţire,Mihai Eminescu,Written Language,poezie
1537,La mormântul lui Aron Pumnul,La mormântul lui Aron Pumnul,Mihai Eminescu,Written Language,poezie
1538,Floare-albastră,Floare-albastră,Mihai Eminescu,Written Language,poezie
1539,Junii corupţi,Junii corupţi,Mihai Eminescu,Written Language,poezie
1540,De-aş avea,De-aş avea,Mihai Eminescu,Written Language,poezie
1541,Departe sunt de tine,Departe sunt de tine,Mihai Eminescu,Written Language,poezie
1542,Epigonii,Epigonii,Mihai Eminescu,Written Language,poezie
1543,Foaia veştedă,Foaia veştedă,Mihai Eminescu,Written Language,poezie
1544,Doina,Doina,Mihai Eminescu,Written Language,poezie
1545,Din străinătate,Din străinătate,Mihai Eminescu,Written Language,poezie
1546,Roua,Roua,Maria-Eugenia Olaru,Written Language,poezie
1547,Cu mâine zilele-ţi adaogi,Cu mâine zilele-ţi adaogi,Mihai Eminescu,Written Language,poezie
1548,La Argeş,La Argeş,Mateiu Ion Caragiale,Written Language,poezie
1549,Mărturisire,Mărturisire,Mateiu Ion Caragiale,Written Language,poezie
1550,A treizeci şi una scrisoare,A treizeci şi una scrisoare,Maria-Eugenia Olaru,Written Language,poezie
1551,La Bucovina,La Bucovina,Mihai Eminescu,Written Language,poezie
1552,Înger de pază,Înger de pază,Mihai Eminescu,Written Language,poezie
1553,Când amintirile,Când amintirile,Mihai Eminescu,Written Language,poezie
1554,Mai am un singur dor,Mai am un singur dor,Mihai Eminescu,Written Language,poezie
1555,Ce e amorul,Ce e amorul,Mihai Eminescu,Written Language,poezie
1556,Eu nu regret,Eu nu regret,Magda Ianos,Written Language,poezie
1557,Pe lângă plopii fără soţ,Pe lângă plopii fără soţ,Mihai Eminescu,Written Language,poezie
1558,Înrourare,Înrourare,Maria-Eugenia Olaru,Written Language,poezie
1559,Scrisoarea V,Scrisoarea V,Mihai Eminescu,Written Language,poezie
1560,Luceafărul,Luceafărul,Mihai Eminescu,Written Language,poezie
1561,Primăvara,Primăvara,Magda Ianos,Written Language,poezie
1562,Noapte roşie,Noapte roşie,Mateiu Ion Caragiale,Written Language,poezie
1563,Glossă,Glossă,Mihai Eminescu,Written Language,poezie
1564,De-or trece anii,De-or trece anii,Mihai Eminescu,Written Language,poezie
1565,Amorul unei marmure,Amorul unei marmure,Mihai Eminescu,Written Language,poezie
1566,Mortua est,Mortua est,Mihai Eminescu,Written Language,poezie
1567,Dimineţi de duminică,Dimineţi de duminică,Maria-Eugenia Olaru,Written Language,poezie
1568,Când însuşi glasul,Când însuşi glasul,Mihai Eminescu,Written Language,poezie
1569,Povestea codrului,Povestea codrului,Mihai Eminescu,Written Language,poezie
1570,Numai poetul,Numai poetul,Mihai Eminescu,Written Language,poezie
1571,Scrisoarea IV,Scrisoarea IV,Mihai Eminescu,Written Language,poezie
1572,Iar când voi fi pământ,Iar când voi fi pământ,Mihai Eminescu,Written Language,poezie
1573,Crăiasa din poveşti,Crăiasa din poveşti,Mihai Eminescu,Written Language,poezie
1574,Boierul,Boierul,Mateiu Ion Caragiale,Written Language,poezie
1575,Fiind băiet păduri cutreieram,Fiind băiet păduri cutreieram,Mihai Eminescu,Written Language,poezie
1576,Atât de fragedă,Atât de fragedă,Mihai Eminescu,Written Language,poezie
1577,Întâia scrisoare - O zi senină,Întâia scrisoare - O zi senină,Maria-Eugenia Olaru,Written Language,poezie
1578,Mănuşa,Mănuşa,Mihai Eminescu,Written Language,poezie
1579,Din valurile vremii,Din valurile vremii,Mihai Eminescu,Written Language,poezie
1580,De câte ori iubito,De câte ori iubito,Mihai Eminescu,Written Language,poezie
1581,Invrăjbire,Invrăjbire,Magda Ianos,Written Language,poezie
1582,Migraţii,Migraţii,Elena Armenescu,Written Language,poezie
1583,Noapte de toamnă,Noapte de toamnă,Gheorghe Topârceanu,Written Language,poezie
1584,Cătelusul schiop,Cătelusul schiop,Elena Farago,Written Language,poezie
1585,Furtuna,Furtuna,Gheorghe Topârceanu,Written Language,poezie
1586,Belşug,Belşug,George Bacovia,Written Language,poezie
1587,Pastel,Pastel,Gheorghe Topârceanu,Written Language,poezie
1588,Scrisoare,Scrisoare,Gheorghe Topârceanu,Written Language,poezie
1589,Tablou de iarnă,Tablou de iarnă,George Bacovia,Written Language,poezie
1590,Cântec,Cântec,Gheorghe Topârceanu,Written Language,poezie
1591,Hai Nani Nani,Hai Nani Nani,Elena Farago,Written Language,poezie
1592,Gândăcelul,Gândăcelul,Elena Farago,Written Language,poezie
1593,Closca,Closca,Elena Farago,Written Language,poezie
1594,În mine - apă din primordiala mare,În mine - apă din primordiala mare,Elena Armenescu,Written Language,poezie
1595,În clipa regăsirii,În clipa regăsirii,Elena Liliana Popescu,Written Language,poezie
1596,Iubirea împărătească,Iubirea împărătească,Elena Armenescu,Written Language,poezie
1597,Mielul Pascal,Mielul Pascal,Elena Armenescu,Written Language,poezie
1598,Poveste,Poveste,George Bacovia,Written Language,poezie
1599,Micul vânător,Micul vânător,Elena Farago,Written Language,poezie
1600,Dacă,Dacă,Elena Liliana Popescu,Written Language,poezie
1601,Rapsodii de toamnă,Rapsodii de toamnă,Gheorghe Topârceanu,Written Language,poezie
1602,Rosteşte-mă,Rosteşte-mă,Elena Armenescu,Written Language,poezie
1603,Şi ce,Şi ce,George Bacovia,Written Language,poezie
1604,Imn vieţii,Imn vieţii,Elena Liliana Popescu,Written Language,poezie
1605,Cuptor,Cuptor,George Bacovia,Written Language,poezie
1606,Parabolă,Parabolă,Elena Armenescu,Written Language,poezie
1607,Probleme de existență și supraviețuire a omului în lumea contemporană,Probleme de existență și supraviețuire a omului în lumea contemporană,Balan NorocTirdea,Written Language,articol
1608,VALORIFICAREA PROCESULUI DE CREAŢIE ÎN ARTELE PLASTICE,VALORIFICAREA PROCESULUI DE CREAŢIE ÎN ARTELE PLASTICE,Arbuz-Spatari,Written Language,articol
1609,Conceptualizarea metodologiei dezvoltării creativităţii artistice la studenţi,Conceptualizarea metodologiei dezvoltării creativităţii artistice la studenţi,Arbuz Spatar,Written Language,articol
1610,Studiu experimental al comunicării la copiii cu PCI asociată cu deficienţă mintală,Studiu experimental al comunicării la copiii cu PCI asociată cu deficienţă mintală,Silvia,Written Language,articol
1611,Prin educație pentru dezvoltare emoțională spre comunicare eficientă,Prin educație pentru dezvoltare emoțională spre comunicare eficientă,Androne,Written Language,articol
1612,Teoria Universurilor,Teoria Universurilor,EBuzinschi,Written Language,articol
1613,Valorificarea Inteligențelor Multiple,Valorificarea Inteligențelor Multiple,O Boz,Written Language,articol
1614,Factori metodico-didactici de clasificare ale textelor de specialitate,Factori metodico-didactici de clasificare ale textelor de specialitate,NBarbaros,Written Language,articol
1615,MODELUL COMPETENȚELOR CADRELOR DIDACTICE,MODELUL COMPETENȚELOR CADRELOR DIDACTICE,PatrascuArapu,Written Language,articol
1616,Adaptarea creativă în dinamica nevoi – posibilități de satisfacere,Adaptarea creativă în dinamica nevoi – posibilități de satisfacere,Tatiana,Written Language,articol
1617,Conversare cu studenti,Conversare cu studenti,BabaraTirsina,Written Language,articol
1618,Emil Leteanu,Emil Leteanu,ABurlacu,Written Language,articol
1619,Româneşti Extracarpatice,Româneşti Extracarpatice,To Gheorghiu,Written Language,articol
1620,"DOCTRINA POLITICĂ FEMINISTĂ, ISTORIE ȘI IMPACT","DOCTRINA POLITICĂ FEMINISTĂ, ISTORIE ȘI IMPACT",Noroc Balan,Written Language,articol
1621,DIFICULTĂTI DE SOCIALIZARE A COPIILOR CU DEFICIENTE MOTORII,DIFICULTĂTI DE SOCIALIZARE A COPIILOR CU DEFICIENTE MOTORII,"Adascalita, Popovici",Written Language,articol
1622,Metodologia Învățării serviciilor,Metodologia Învățării serviciilor,M Bodiu,Written Language,articol
1623,Atitudinea parentală și percepţia fenomenului de delincvenţă juvenilă de către părinţi,Atitudinea parentală și percepţia fenomenului de delincvenţă juvenilă de către părinţi,VOlărescu,Written Language,articol
1624,Mobilizarea Isptoricilor Moldoveni,Mobilizarea Isptoricilor Moldoveni,VBurlacu,Written Language,articol
1625,Particularitățile de dezvoltare a desenului infantil,Particularitățile de dezvoltare a desenului infantil,ASimac,Written Language,articol
1626,MIRALOLUL CLIPEI LA JORGE LUIS BORGES,MIRALOLUL CLIPEI LA JORGE LUIS BORGES,VBaraga,Written Language,articol
1627,PROBLEME ALE ŞTIINŢELOR SOCIOUMANISTICE ŞI MODERNIZĂRII ÎNVĂŢĂMÂNTULUI,PROBLEME ALE ŞTIINŢELOR SOCIOUMANISTICE ŞI MODERNIZĂRII ÎNVĂŢĂMÂNTULUI,Chisinau,Written Language,articol
